Source,Target,Type,Id,Label,Weight
19732774,48413473,Undirected,55693,,1
19732774,48343444,Undirected,55694,,1
19732774,48179305,Undirected,55695,,1
19732774,48056350,Undirected,55696,,1
19732774,47866216,Undirected,55697,,1
19732774,47510011,Undirected,55698,,2
19732774,47375695,Undirected,55699,,3
19732774,47300887,Undirected,55700,,1
19732774,46075396,Undirected,55701,,1
19732774,45874339,Undirected,55702,,1
19732774,45787594,Undirected,55703,,3
19732774,45344131,Undirected,55704,,1
19732774,45288286,Undirected,55705,,1
19732774,44573773,Undirected,55706,,1
19732774,44554384,Undirected,55707,,1
19732774,44554144,Undirected,55708,,1
19732774,43940376,Undirected,55709,,1
19732774,42652785,Undirected,55710,,1
19732774,42570372,Undirected,55711,,1
19732774,41593659,Undirected,55712,,2
19732774,41260620,Undirected,55713,,1
19732774,40494972,Undirected,55714,,1
19732774,40437318,Undirected,55715,,2
19732774,40342863,Undirected,55716,,1
19732774,40195821,Undirected,55717,,2
19732774,40179597,Undirected,55718,,1
19732774,40174143,Undirected,55719,,1
19732774,40097889,Undirected,55720,,1
19732774,39832662,Undirected,55721,,1
19732774,39638796,Undirected,55722,,2
19732774,39407367,Undirected,55723,,2
19732774,39297315,Undirected,55724,,1
19732774,38959434,Undirected,55725,,1
19732774,38696055,Undirected,55726,,3
19732774,38155234,Undirected,55727,,1
19732774,37809358,Undirected,55728,,1
19732774,36817186,Undirected,55729,,2
19732774,36669001,Undirected,55730,,1
19732774,35061025,Undirected,55731,,1
19732774,34776295,Undirected,55732,,1
19732774,33797872,Undirected,55733,,1
19732774,33219859,Undirected,55734,,1
19732774,32872465,Undirected,55735,,1
19732774,32872315,Undirected,55736,,1
19732774,31223861,Undirected,55737,,1
19732774,29940135,Undirected,55738,,1
19732774,29940021,Undirected,55739,,1
19732774,29741793,Undirected,55740,,1
19732774,29313684,Undirected,55741,,2
19732774,28522107,Undirected,55742,,1
19732774,28314300,Undirected,55743,,2
19732774,27558010,Undirected,55744,,1
19732774,26677741,Undirected,55745,,1
19732774,26643709,Undirected,55746,,1
19732774,26631610,Undirected,55747,,1
19732774,25461832,Undirected,55748,,1
19732774,25050985,Undirected,55749,,1
19732774,24912952,Undirected,55750,,1
19732774,24895471,Undirected,55751,,1
19732774,24519223,Undirected,55752,,1
19732774,23727355,Undirected,55753,,1
19732774,23628514,Undirected,55754,,1
19732774,23578450,Undirected,55755,,1
19732774,22626109,Undirected,55756,,1
19732774,22301590,Undirected,55757,,1
19732774,22224691,Undirected,55758,,2
19732774,21757117,Undirected,55759,,1
19732774,21744985,Undirected,55760,,1
19732774,21731875,Undirected,55761,,1
19732774,20647682,Undirected,55762,,4
19732774,20539571,Undirected,55763,,1
19732774,20476145,Undirected,55764,,1
19732774,20186716,Undirected,55765,,1
19732774,19726339,Undirected,55766,,2
19732774,19388866,Undirected,55767,,2
19732774,19171792,Undirected,55768,,1
19732774,18702334,Undirected,55769,,1
19732774,18370205,Undirected,55770,,1
19732774,18062840,Undirected,55771,,2
19732774,17850629,Undirected,55772,,1
19732774,17335142,Undirected,55773,,1
19732774,16937409,Undirected,55774,,1
19732774,16618532,Undirected,55775,,1
19732774,16530212,Undirected,55776,,1
19732774,16394669,Undirected,55777,,1
19732774,16390847,Undirected,55778,,2
19732774,16307726,Undirected,55779,,1
19732774,16289258,Undirected,55780,,1
19732774,16263014,Undirected,55781,,1
19732774,16203659,Undirected,55782,,1
19732774,16203557,Undirected,55783,,1
19732774,16064366,Undirected,55784,,4
19732774,15978047,Undirected,55785,,1
19732774,15901827,Undirected,55786,,1
19732774,15881523,Undirected,55787,,1
19732774,15869697,Undirected,55788,,1
19732774,15701610,Undirected,55789,,1
19732774,15574896,Undirected,55790,,1
19732774,15498660,Undirected,55791,,1
19732774,15486045,Undirected,55792,,1
19732774,15277026,Undirected,55793,,4
19732774,15108152,Undirected,55794,,2
19732774,14988560,Undirected,55795,,1
19732774,14929916,Undirected,55796,,1
19732774,14928963,Undirected,55797,,1
19732774,14908223,Undirected,55798,,1
19732774,14559378,Undirected,55799,,1
19732774,14475456,Undirected,55800,,1
19732774,14275497,Undirected,55801,,1
19732774,14192817,Undirected,55802,,1
19732774,13831614,Undirected,55803,,1
19732774,13813092,Undirected,55804,,2
19732774,13524321,Undirected,55805,,1
19732774,13449477,Undirected,55806,,3
19732774,13392750,Undirected,55807,,1
19732774,13370799,Undirected,55808,,1
19732774,13236297,Undirected,55809,,1
19732774,13062147,Undirected,55810,,1
19732774,13058271,Undirected,55811,,2
19732774,13008804,Undirected,55812,,1
19732774,13008189,Undirected,55813,,1
19732774,12994989,Undirected,55814,,1
19732774,12920913,Undirected,55815,,1
19732774,12826734,Undirected,55816,,1
19732774,12757155,Undirected,55817,,1
19732774,12382794,Undirected,55818,,2
19732774,11586363,Undirected,55819,,1
19732774,11180022,Undirected,55820,,1
19732774,9637730,Undirected,55821,,1
19732774,9235481,Undirected,55822,,2
19732774,9223487,Undirected,55823,,1
19732774,9162283,Undirected,55824,,2
19732774,7812448,Undirected,55825,,1
19732774,5718613,Undirected,55826,,1
19732774,5715670,Undirected,55827,,1
19732774,5452484,Undirected,55828,,1
19732774,5325647,Undirected,55829,,2
19732774,5191457,Undirected,55830,,1
19732774,5185019,Undirected,55831,,1
19732774,5184875,Undirected,55832,,2
19732774,4731026,Undirected,55833,,1
19732774,4729430,Undirected,55834,,1
19732774,4729262,Undirected,55835,,1
19732774,4512231,Undirected,55836,,1
19732774,4155843,Undirected,55837,,1
19732774,3803020,Undirected,55838,,1
19732774,3397907,Undirected,55839,,3
19732774,3236285,Undirected,55840,,2
19732774,2817995,Undirected,55841,,1
19732774,2627531,Undirected,55842,,1
19732774,2544314,Undirected,55843,,1
19732774,2433587,Undirected,55844,,1
19732774,2429669,Undirected,55845,,1
19732774,2275152,Undirected,55846,,1
19732774,2244810,Undirected,55847,,1
19732774,2088681,Undirected,55848,,1
19732774,2084490,Undirected,55849,,3
19732774,1805272,Undirected,55850,,1
19732774,1725017,Undirected,55851,,1
19732774,1355935,Undirected,55852,,1
19732774,1274749,Undirected,55853,,2
19732774,1274695,Undirected,55854,,2
19732774,1074926,Undirected,55855,,4
19732774,1074920,Undirected,55856,,2
19732774,1048292,Undirected,55857,,1
19732774,1017392,Undirected,55858,,2
19732774,892330,Undirected,55859,,2
19732774,785629,Undirected,55860,,1
19732774,255686,Undirected,55861,,1
19732774,209903,Undirected,55862,,1
19043737,54490768,Undirected,55863,,1
19043737,53984458,Undirected,55864,,1
19043737,53010601,Undirected,55865,,1
19043737,52660222,Undirected,55866,,1
19043737,51105304,Undirected,55867,,2
19043737,50091106,Undirected,55868,,1
19043737,48600712,Undirected,55869,,1
19043737,46714600,Undirected,55870,,1
19043737,45910927,Undirected,55871,,1
19043737,45220783,Undirected,55872,,1
19043737,43208674,Undirected,55873,,1
19043737,40254570,Undirected,55874,,1
19043737,39549756,Undirected,55875,,1
19043737,35528638,Undirected,55876,,1
19043737,34341823,Undirected,55877,,1
19043737,33577486,Undirected,55878,,2
19043737,33264559,Undirected,55879,,1
19043737,33219859,Undirected,55880,,1
19043737,32699830,Undirected,55881,,1
19043737,31711321,Undirected,55882,,1
19043737,29211414,Undirected,55883,,1
19043737,24908725,Undirected,55884,,1
19043737,22224691,Undirected,55885,,1
19043737,21731875,Undirected,55886,,1
19043737,16618532,Undirected,55887,,1
19043737,16457501,Undirected,55888,,1
19043737,16457408,Undirected,55889,,2
19043737,16394669,Undirected,55890,,1
19043737,16390847,Undirected,55891,,2
19043737,16307726,Undirected,55892,,2
19043737,16281542,Undirected,55893,,1
19043737,16272851,Undirected,55894,,1
19043737,16247630,Undirected,55895,,1
19043737,16246475,Undirected,55896,,1
19043737,16220075,Undirected,55897,,2
19043737,16206227,Undirected,55898,,1
19043737,16203803,Undirected,55899,,2
19043737,16203557,Undirected,55900,,2
19043737,16064366,Undirected,55901,,3
19043737,16015601,Undirected,55902,,2
19043737,15978047,Undirected,55903,,2
19043737,15977936,Undirected,55904,,1
19043737,15688002,Undirected,55905,,2
19043737,15540837,Undirected,55906,,1
19043737,15539931,Undirected,55907,,2
19043737,15498660,Undirected,55908,,2
19043737,15439428,Undirected,55909,,1
19043737,15277026,Undirected,55910,,1
19043737,14788634,Undirected,55911,,1
19043737,14751945,Undirected,55912,,1
19043737,14407923,Undirected,55913,,1
19043737,13522677,Undirected,55914,,1
19043737,13387461,Undirected,55915,,1
19043737,12517504,Undirected,55916,,1
19043737,11783496,Undirected,55917,,1
19043737,11568048,Undirected,55918,,2
19043737,11143059,Undirected,55919,,1
19043737,9235481,Undirected,55920,,1
19043737,9162283,Undirected,55921,,1
19043737,7950469,Undirected,55922,,1
19043737,7812448,Undirected,55923,,1
19043737,7777426,Undirected,55924,,1
19043737,5184875,Undirected,55925,,1
19043737,4759517,Undirected,55926,,1
19043737,4729262,Undirected,55927,,1
19043737,4512231,Undirected,55928,,1
19043737,3803020,Undirected,55929,,1
19043737,3397907,Undirected,55930,,2
19043737,2722808,Undirected,55931,,2
19043737,2118972,Undirected,55932,,1
19043737,1355935,Undirected,55933,,1
19043737,775637,Undirected,55934,,1
18702334,54266503,Undirected,55935,,1
18702334,54211585,Undirected,55936,,1
18702334,53486542,Undirected,55937,,1
18702334,53083045,Undirected,55938,,1
18702334,52802791,Undirected,55939,,1
18702334,52504528,Undirected,55940,,1
18702334,51889174,Undirected,55941,,1
18702334,50631169,Undirected,55942,,1
18702334,50091106,Undirected,55943,,1
18702334,49810906,Undirected,55944,,1
18702334,49589710,Undirected,55945,,1
18702334,45787594,Undirected,55946,,1
18702334,45347518,Undirected,55947,,1
18702334,45220783,Undirected,55948,,1
18702334,45067228,Undirected,55949,,1
18702334,44554384,Undirected,55950,,1
18702334,44554303,Undirected,55951,,1
18702334,44554144,Undirected,55952,,1
18702334,44554027,Undirected,55953,,1
18702334,44283846,Undirected,55954,,1
18702334,42940806,Undirected,55955,,1
18702334,42940764,Undirected,55956,,1
18702334,41962524,Undirected,55957,,1
18702334,41593659,Undirected,55958,,1
18702334,40494972,Undirected,55959,,1
18702334,40342863,Undirected,55960,,1
18702334,39593367,Undirected,55961,,1
18702334,39297315,Undirected,55962,,1
18702334,38959434,Undirected,55963,,1
18702334,35189263,Undirected,55964,,1
18702334,34985182,Undirected,55965,,1
18702334,34730860,Undirected,55966,,1
18702334,34510978,Undirected,55967,,1
18702334,34474147,Undirected,55968,,1
18702334,34473955,Undirected,55969,,1
18702334,34428934,Undirected,55970,,1
18702334,34428562,Undirected,55971,,1
18702334,34144000,Undirected,55972,,1
18702334,33895123,Undirected,55973,,1
18702334,33308806,Undirected,55974,,1
18702334,33219859,Undirected,55975,,1
18702334,32872465,Undirected,55976,,1
18702334,31645943,Undirected,55977,,1
18702334,31563245,Undirected,55978,,1
18702334,28314300,Undirected,55979,,1
18702334,28019955,Undirected,55980,,1
18702334,27358903,Undirected,55981,,1
18702334,26631610,Undirected,55982,,1
18702334,24431269,Undirected,55983,,1
18702334,23908612,Undirected,55984,,1
18702334,20476145,Undirected,55985,,1
18702334,20461373,Undirected,55986,,1
18702334,20186716,Undirected,55987,,1
18702334,20170342,Undirected,55988,,1
18702334,20087272,Undirected,55989,,1
18702334,19171324,Undirected,55990,,1
18702334,17633204,Undirected,55991,,1
18702334,17335142,Undirected,55992,,1
18702334,17169569,Undirected,55993,,1
18702334,17153918,Undirected,55994,,2
18702334,16789777,Undirected,55995,,1
18702334,16220075,Undirected,55996,,1
18702334,16203659,Undirected,55997,,1
18702334,15978107,Undirected,55998,,1
18702334,15958259,Undirected,55999,,2
18702334,15574896,Undirected,56000,,1
18702334,15486045,Undirected,56001,,4
18702334,15033614,Undirected,56002,,1
18702334,14929916,Undirected,56003,,1
18702334,13897911,Undirected,56004,,1
18702334,13813092,Undirected,56005,,1
18702334,13058271,Undirected,56006,,2
18702334,12994989,Undirected,56007,,1
18702334,12920913,Undirected,56008,,1
18702334,12757155,Undirected,56009,,1
18702334,10938369,Undirected,56010,,1
18702334,9223487,Undirected,56011,,1
18702334,9162283,Undirected,56012,,1
18702334,7820230,Undirected,56013,,1
18702334,5961130,Undirected,56014,,1
18702334,5718613,Undirected,56015,,1
18702334,5715670,Undirected,56016,,1
18702334,5325647,Undirected,56017,,1
18702334,5185019,Undirected,56018,,1
18702334,4605360,Undirected,56019,,1
18702334,4155843,Undirected,56020,,1
18702334,3397907,Undirected,56021,,2
